tensao(mv),temp(c)
813,1.50
811,1.10
813,1.00
815,0.40
815,0.00
813,-0.40
815,-1.10
809,0.50
808,1.70
806,3.50
800,5.50
796,7.70
796,7.90
793,9.30
790,9.50
791,10.70
788,13.30
786,13.50
784,15.30
783,17.00
780,17.20
779,19.10
780,19.70
776,20.20
777,20.30
776,20.9
774,21.10
774,21.70
776,21.90
777,22.00
774,22.60
774,22.70
775,28.70
773,29.70
772,30.20
768,30.40
757,45.20
753,44.20
747,42.00
743,42.10
744,45.60
743,45.30
742,47.70
744,49.90
743,52.70
739,53.70
740,51.20
738,54.70
738,55.50
736,54.50
734,54.60
728,68.30
726,70.20
725,72.40
716,75.70
717,73.10
713,72.30
712,75.60
715,75.80
711,79.60
710,80.70
710,78.40
706,77.70
709,76.90
706,76.60
706,77.80
704,80.50
697,85.1
694,90.7
689,92.8
687,96.1
688,94.1
691,82.2
794,80.9
695,79.5
695,77.1
703,68.1
703,66.6
710,61.1
714,61.1
714,59.2
715,58.4
717,57.8
719,56.7
720,56
722,55.6
723,52.2
726,51.6
730,49.9
732,48.8
734,46.6
736,46.1
738,44.8
739,44.4
743,42.6
744,42.2
744,41.7
744,40
746,39.6
746,39.4
748,39.4
749,38
749,37.1
750,36.6
751,36.2
751,35.9
754,35.8
753,35.6
756,35
757,34.6
757,33.3
758,30.9
761,29.5
768,22.7
768,21.6
770,21.1
776,21.1
777,17.4
777,16.4
783,14.3
784,13.6
788,13.4
790,11.5
789,11.1
791,11
794,9.6
794,9.1
797,8
797,7.6
800,7.5
800,7.2
801,6.1
802,5.1
805,5
804,4.1
807,4
806,3.5
806,3.2
808,2.8
808,2.6
806,2.5
808,2.5
807,2
809,2
809,1.7
810,1.5
809,1.4
810,1.1
810,1
809,0.7
810,0.7
811,0.3
813,0.1
814,0
